Nome;Preço;Quantidade;Descrição;Categoria
Tinta Acrílica Premium;35;100;Tinta acrílica de alta qualidade para interiores e exteriores.;Pintura e Acabamento
Parafuso Philips 4x50mm;0,5;500;Parafuso de aço com acabamento zincado.;Ferragens e Ferramentas
Lâmpada LED 9W;10;200;Lâmpada LED econômica para uso residencial.;Elétrica e Iluminação
Piso Cerâmico 45x45cm;20;300;Piso cerâmico de alta resistência para áreas internas.;Pisos e Revestimentos
Torneira para Cozinha;50;150;Torneira cromada com bica móvel.;Banheiro e Cozinha
Argamassa para Porcelanato;30;100;Argamassa especial para assentamento de porcelanatos.;Materiais de Construção
Pincel de Pintura 3 Polegadas;8;200;Pincel de cerdas sintéticas para pintura em geral.;Pintura e Acabamento
"Chave de Fenda Phillips 1/8""";5;100;Chave de fenda com ponta Phillips.;Ferragens e Ferramentas
Lâmpada Fluorescente 18W;7;150;Lâmpada fluorescente compacta para uso comercial.;Elétrica e Iluminação
Vaso Sanitário com Caixa Acoplada;300;50;Vaso sanitário com sistema de descarga de duplo acionamento.;Banheiro e Cozinha
Chuveiro Elétrico 5500W;80;80;Chuveiro elétrico com controle de temperatura.;Hidráulica
Massa Corrida para Paredes;25;120;Massa corrida para nivelamento e correção de imperfeições.;Pintura e Acabamento
Martelo de Borracha 500g;15;80;Martelo de borracha resistente para trabalhos leves.;Ferragens e Ferramentas
Interruptor Simples 10A;3;200;Interruptor simples para iluminação residencial.;Elétrica e Iluminação
Tijolo Cerâmico 6 Furos;2;1000;Tijolo cerâmico vermelho para construção civil.;Materiais de Construção
Broca para Concreto 8mm;12;50;Broca de metal duro para perfuração em concreto.;Ferragens e Ferramentas
Lixa D'água Grão 120;1,5;300;Lixa d'água para acabamento em superfícies metálicas.;Ferragens e Ferramentas
Fita Isolante 20m;4;150;Fita isolante de alta aderência para eletricidade.;Elétrica e Iluminação
Piso Vinílico 30x30cm;40;100;Piso vinílico autoadesivo para áreas internas.;Pisos e Revestimentos
Silicone Vedante Transparente;8;80;Silicone vedante para vedação em vidros e superfícies lisas.;Material de Isolamento e Impermeabilização
Regulador de Pressão para Gás;50;30;Regulador de pressão para botijão de gás.;Hidráulica
Tinta Esmalte Sintético Branco Brilhante;25;120;Tinta esmalte sintético de acabamento brilhante.;Pintura e Acabamento
"Serra Circular 7.1/4""";150;40;Serra circular com motor potente e lâmina de metal duro.;Ferragens e Ferramentas
Tomada Bipolar 10A;4;100;Tomada bipolar padrão para uso residencial.;Elétrica e Iluminação
Torneira para Lavatório;40;80;Torneira cromada para lavatório com design moderno.;Banheiro e Cozinha
Lã de Vidro 50mm;60;60;Lã de vidro para isolamento térmico e acústico.;Material de Isolamento e Impermeabilização
Tinta Epóxi para Pisos;50;80;Tinta epóxi de alta resistência para pisos industriais.;Pintura e Acabamento
Broca para Madeira 10mm;8;70;Broca de aço rápido para perfuração em madeira.;Ferragens e Ferramentas
Luminária de Embutir LED 12W;70;50;Luminária de embutir com tecnologia LED.;Elétrica e Iluminação
Sifão para Pia;20;100;Sifão cromado para pias de cozinha.;Hidráulica
Tinta Acrílica Fosca Premium;40;80;Tinta acrílica fosca de alta qualidade.;Pintura e Acabamento
Fita Veda Rosca para Tubos;3;150;Fita veda rosca para vedação de conexões de tubos.;Hidráulica
Piso Laminado 8mm;60;60;Piso laminado resistente para ambientes residenciais.;Pisos e Revestimentos
